,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
290,Patrick Berg,no NOR,MF,Lens,fr Ligue 1,23,1997,3.4,0,1,0,0.0,0.29,0.00,0.00,,19.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,e4114f5d
291,Mitchell van Bergen,nl NED,FWMF,Reims,fr Ligue 1,21,1999,10.9,0,12,5,41.7,1.10,0.46,0.00,0.00,18.0,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches,0b2c9aec
292,Steven Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,23,1997,6.3,3,19,10,52.6,3.03,1.59,0.16,0.30,16.3,0,0,0,2.5,2.5,0.13,+0.5,+0.5,Matches,a29b1131
293,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ee833569
294,Valon Berisha,xk KVX,MFFW,Reims,fr Ligue 1,28,1993,5.1,0,4,0,0.0,0.79,0.00,0.00,,16.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,d5575935
295,Federico Bernardeschi,it ITA,MFFW,Juventus,it Serie A,27,1994,16.4,1,33,7,21.2,2.01,0.43,0.03,0.14,19.9,0,0,0,1.5,1.5,0.05,-0.5,-0.5,Matches,ee93c1a9
296,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28dabd43
297,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28dabd43
298,Juan Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,28,1993,10.6,0,1,1,100.0,0.09,0.09,0.00,0.00,15.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,433dc9a2
299,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,380a15e2
300,Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,31,1990,19.2,1,23,4,17.4,1.20,0.21,0.04,0.25,20.8,6,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,03e91055
301,Nicolò Bertola,it ITA,MFDF,Spezia,it Serie A,18,2003,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,34.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,04b40c58
302,Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,1989,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,01226327
303,Daniel Bessa,it ITA,MF,Hellas Verona,it Serie A,28,1993,8.5,1,10,2,20.0,1.17,0.23,0.10,0.50,25.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,88895312
304,Beto,gw GNB,FW,Udinese,it Serie A,23,1998,24.1,11,64,26,40.6,2.65,1.08,0.17,0.42,13.5,0,0,0,12.7,12.7,0.20,-1.7,-1.7,Matches,ed5c0319
305,Jordan Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,2000,15.4,0,7,0,0.0,0.46,0.00,0.00,,13.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,9af1f9ff
306,Bartosz Bialek,pl POL,FWDF,Wolfsburg,de Bundesliga,19,2001,2.0,0,6,2,33.3,3.03,1.01,0.00,0.00,13.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,763b8b37
307,Giulian Biancone,fr FRA,DFMF,Troyes,fr Ligue 1,21,2000,25.5,1,28,9,32.1,1.10,0.35,0.04,0.11,18.3,1,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches,de40e38c
